url,max_intra,min_inter,url_mas_cercana,access_id_url,access_id_url_mas_cercana,riesgo_solape,solape_exacto,distancia_wasserstein_min,distancia_lcss_min,distancia_watson_min
github.io,0.2817631826741996,0.14250501873389743,baidu.com,captura_0000132_H123.csv:linea_7,captura_0000107_H123.csv:linea_106,True,False,0.02150537634408602,0.26350466112370885,0.14250501873389743
office365.com,0.2962543460875556,0.1448915565667295,sharepoint.com,captura_0000093_H123.csv:linea_79,captura_0000051_H123.csv:linea_83,True,False,0.0574712643678161,0.23231184876564293,0.1448915565667295
sharepoint.com,0.2889214070990866,0.1448915565667295,office365.com,captura_0000051_H123.csv:linea_83,captura_0000093_H123.csv:linea_79,True,False,0.0574712643678161,0.23231184876564293,0.1448915565667295
myfritz.net,0.3875622424892121,0.1544375589263092,baidu.com,captura_0000150_H123.csv:linea_42,captura_0000107_H123.csv:linea_35,True,False,0.025252525252525252,0.28362259260009315,0.1544375589263092
wikipedia.org,0.2330611307884035,0.16334202413747873,yahoo.com,captura_0000029_H123.csv:linea_3,captura_0000055_H123.csv:linea_7,True,False,0.031746031746031744,0.2949380165289257,0.16334202413747873
yahoo.com,0.1904489910442291,0.16334202413747873,wikipedia.org,captura_0000055_H123.csv:linea_7,captura_0000029_H123.csv:linea_3,True,False,0.031746031746031744,0.2949380165289257,0.16334202413747873
ui.com,0.2299265920675304,0.16617086193745237,zoom.us,captura_0000153_H123.csv:linea_11,captura_0000082_H123.csv:linea_43,True,False,0.05263157894736842,0.2797101449275363,0.16617086193745237
zoom.us,0.5746143657247029,0.16617086193745237,ui.com,captura_0000082_H123.csv:linea_43,captura_0000153_H123.csv:linea_11,True,False,0.05263157894736842,0.2797101449275363,0.16617086193745237
cnn.com,0.2198800131492439,0.1666255752794214,okcdn.ru,captura_0000172_H123.csv:linea_63,captura_0000136_H123.csv:linea_19,True,False,0.027777777777777776,0.305473372781065,0.1666255752794214
github.com,0.2898010719439291,0.17077781525833471,archive.org,captura_0000036_H123.csv:linea_67,captura_0000154_H123.csv:linea_43,True,False,0.08333333333333333,0.2582222971833361,0.17077781525833471
apache.org,0.321509455601229,0.1721226404800873,telekom.net,captura_0000117_H123.csv:linea_39,captura_0000124_H123.csv:linea_43,True,False,0.05673758865248227,0.28750769230769235,0.1721226404800873
digicert.com,0.3607063342034987,0.17231753812636166,googledomains.com,captura_0000053_H123.csv:linea_15,captura_0000101_H123.csv:linea_3,True,False,0.0784313725490196,0.2662037037037037,0.17231753812636166
googledomains.com,0.2009803921568627,0.17231753812636166,digicert.com,captura_0000101_H123.csv:linea_3,captura_0000053_H123.csv:linea_15,True,False,0.0784313725490196,0.2662037037037037,0.17231753812636166
sciencedirect.com,0.2642351492767005,0.17421052631578943,wikipedia.org,captura_0000193_H123.csv:linea_51,captura_0000029_H123.csv:linea_3,True,False,0.03508771929824561,0.31333333333333324,0.17421052631578943
gmail.com,0.2207936507936508,0.18321581196581194,googledomains.com,captura_0000199_H123.csv:linea_39,captura_0000101_H123.csv:linea_15,True,False,0.17948717948717952,0.18694444444444436,0.18321581196581194
nginx.org,0.3543108419838524,0.1856060606060606,app-analytics-services.com,captura_0000113_H123.csv:linea_35,captura_0000130_H123.csv:linea_71,True,False,0.12121212121212122,0.25,0.1856060606060606
microsoft.com,0.3228493761481809,0.18770577646866302,sharepoint.com,captura_0000002_H123.csv:linea_41,captura_0000051_H123.csv:linea_113,True,False,0.04810996563573883,0.3273015873015872,0.18770577646866302
nih.gov,0.3530243950416426,0.19168485408097602,windows.net,captura_0000133_H123.csv:linea_43,captura_0000065_H123.csv:linea_11,True,False,0.1212121212121212,0.2621575869498308,0.19168485408097602
windows.net,0.2170968012755303,0.19168485408097602,nih.gov,captura_0000065_H123.csv:linea_11,captura_0000133_H123.csv:linea_43,True,False,0.1212121212121212,0.2621575869498308,0.19168485408097602
applovin.com,0.2460237293570627,0.19609328579916813,sentry.io,captura_0000151_H123.csv:linea_7,captura_0000121_H123.csv:linea_55,True,False,0.10101010101010101,0.29117647058823526,0.19609328579916813
sentry.io,0.2624497570864353,0.19609328579916813,applovin.com,captura_0000121_H123.csv:linea_55,captura_0000151_H123.csv:linea_7,True,False,0.10101010101010101,0.29117647058823526,0.19609328579916813
adobe.io,0.3190301228934324,0.20154113077522673,opera.com,captura_0000190_H123.csv:linea_51,captura_0000094_H123.csv:linea_34,True,False,0.05555555555555555,0.3475267059948979,0.20154113077522673
miui.com,0.3479215325905221,0.20321106486298993,lencr.org,captura_0000195_H123.csv:linea_77,captura_0000160_H123.csv:linea_7,True,False,0.14666666666666667,0.2597554630593132,0.20321106486298993
skype.com,0.3043553941753387,0.21067165327669524,miui.com,captura_0000057_H123.csv:linea_64,captura_0000195_H123.csv:linea_77,True,False,0.06862745098039215,0.35271585557299834,0.21067165327669524
